,count,global_frequency,local_frequency,rareness
regnum,1890,0.00048118870413336003,0.00048118870413336014,-15.278502097017707
summum,1889,0.00048093410693540587,0.0004809341069354061,-15.279560578122064
proelium,1887,0.0004804249125394976,0.00048042491253949755,-15.281679222387982
pax,1887,0.0004804249125394976,0.00048042491253949765,-15.281679222387982
equus,1886,0.00048017031534154344,0.00048017031534154355,-15.282739386738278
par,1883,0.00047940652374768095,0.00047940652374768106,-15.285923255810777
tribunus,1881,0.0004788973293517726,0.0004788973293517726,-15.288048654523022
singulus,1872,0.00047660595457018517,0.0004766059545701853,-15.297640999050008
ira,1871,0.00047635135737223106,0.0004763513573722311,-15.298709660576904
puer,1870,0.0004760967601742769,0.0004760967601742769,-15.299778893427819
tunc,1865,0.0004748237741845061,0.00047482377418450614,-15.305133648969251
recipio,1859,0.0004732961909967811,0.0004732961909967811,-15.311578337682196
aetas,1853,0.0004717686078090562,0.0004717686078090562,-15.318043860554363
pectus,1850,0.0004710048162151937,0.00047100481621519376,-15.321284476980342
fortis,1845,0.0004697318302254229,0.00046973183022542306,-15.326697200175827
paro,1834,0.00046693126104792716,0.00046693126104792716,-15.338657007492262
uetus,1832,0.00046642206665201884,0.0004664220666520189,-15.340839222656932
o,1824,0.0004643852890683856,0.00046438528906838565,-15.34959197185653
ingens,1815,0.00046209391428679813,0.00046209391428679824,-15.35948481972718
circa,1802,0.0004587841507133941,0.0004587841507133941,-15.373861436788516
aduersus,1800,0.00045827495631748576,0.0004582749563174858,-15.376082425356572
tres,1795,0.00045700197032771494,0.00045700197032771494,-15.381645711280324
plebs,1788,0.00045521978994203586,0.00045521978994203597,-15.389460401658164
cado,1786,0.00045471059554612754,0.0004547105955461276,-15.391698790252194
praetor,1779,0.0004529284151604484,0.00045292841516044857,-15.399552937793413
sanguis,1776,0.00045216462356658597,0.00045216462356658597,-15.402928466020853
ingenium,1775,0.0004519100263686318,0.0004519100263686318,-15.404054909306051
cur,1765,0.0004493640543890902,0.0004493640543890903,-15.415354374390288
sol,1764,0.000449109457191136,0.0004491094571911361,-15.41648783999161
iuuenis,1762,0.00044860026279522775,0.00044860026279522764,-15.418756700132834
efficio,1757,0.00044732727680545694,0.00044732727680545705,-15.424440136750889
utor,1756,0.0004470726796075028,0.0004470726796075027,-15.42557876473496
uelut,1755,0.0004468180824095486,0.0004468180824095487,-15.42671804132515
adsum,1754,0.00044656348521159445,0.00044656348521159445,-15.427857967260827
bellus,1753,0.0004463088880136403,0.0004463088880136404,-15.428998543282614
doceo,1752,0.00044605429081568613,0.0004460542908156861,-15.43013977013241
parens,1746,0.0004445267076279612,0.00044452670762796127,-15.437000840325988
facile,1741,0.0004432537216381904,0.00044325372163819045,-15.442736433588705
potius,1733,0.0004412169440545571,0.00044121694405455705,-15.45194773369387
sacer,1726,0.000439434763668878,0.00043943476366887813,-15.460042569838336
cogo,1711,0.00043561580569956564,0.0004356158056995657,-15.477499765340696
praesidium,1708,0.00043485201410570315,0.00043485201410570326,-15.481009564428053
ob,1702,0.0004333244309179782,0.00043332443091797823,-15.488047694858444
hinc,1700,0.0004328152365220699,0.00043281523652207,-15.490399253036468
fatum,1693,0.0004310330561363908,0.00043103305613639083,-15.498651548858813
ulter,1683,0.0004284870841568492,0.0004284870841568492,-15.51049992474347
auctor,1679,0.00042746869536503256,0.00042746869536503256,-15.515258998970001
roma,1679,0.00042746869536503256,0.00042746869536503245,-15.515258998970001
coepio,1677,0.00042695950096912423,0.00042695950096912423,-15.517642789478666
dignus,1677,0.00042695950096912423,0.0004269595009691243,-15.517642789478666
leuis,1672,0.0004256865149793534,0.00042568651497935337,-15.52361472583579
